Linux 4.18.0-553.124.1.el8_10.x86_64 (l-test-poc-1) 	西元2026年06月08日 	_x86_64_	(4 CPU)

19時24分14秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
19時24分35秒        lo     22.00     22.00      3.83      3.83      0.00      0.00      0.00      0.00
19時24分35秒     ens33  35685.00  30707.00  12430.44  12929.07      0.00      0.00      0.00      1.06
19時24分35秒      cni0  20617.00  22130.00  10352.04   9915.24      0.00      0.00      0.00      0.00
19時24分35秒 vethbdca3de6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19時24分35秒 veth854270a4     11.00     12.00      3.34      1.31      0.00      0.00      0.00      0.00
19時24分35秒 veth0c9b2fa5     11.00     11.00      1.81      1.25      0.00      0.00      0.00      0.00
19時24分35秒 vethba68c3a0   5840.00   6171.00    713.69    704.56      0.00      0.00      0.00      0.06
19時24分35秒 veth0a72e473   7428.00   8816.00   6299.42   7595.11      0.00      0.00      0.00      0.62
19時24分35秒 veth575532b7  15295.00  15088.00   6292.76   4290.11      0.00      0.00      0.00      0.52

19時24分35秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
19時24分36秒        lo     45.00     45.00     58.79     58.79      0.00      0.00      0.00      0.00
19時24分36秒     ens33  30589.00  26252.00  10624.58  11435.95      0.00      0.00      0.00      0.94
19時24分36秒      cni0  17554.00  18937.00   9288.30   8527.66      0.00      0.00      0.00      0.00
19時24分36秒 vethbdca3de6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19時24分36秒 veth854270a4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19時24分36秒 veth0c9b2fa5     12.00     12.00      2.69      1.63      0.00      0.00      0.00      0.00
19時24分36秒 vethba68c3a0   5025.00   5300.00    595.50    599.88      0.00      0.00      0.00      0.05
19時24分36秒 veth0a72e473   6669.00   8114.00   6234.51   6978.95      0.00      0.00      0.00      0.57
19時24分36秒 veth575532b7  13460.00  13123.00   5628.26   3879.85      0.00      0.00      0.00      0.46

19時24分36秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
19時24分37秒        lo      5.00      5.00      0.62      0.62      0.00      0.00      0.00      0.00
19時24分37秒     ens33  29029.00  24656.00  10304.06  10936.41      0.00      0.00      0.00      0.90
19時24分37秒      cni0  16369.00  17844.00   8879.91   8286.68      0.00      0.00      0.00      0.00
19時24分37秒 vethbdca3de6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19時24分37秒 veth854270a4     10.00     13.00      3.27      1.38      0.00      0.00      0.00      0.00
19時24分37秒 veth0c9b2fa5     23.00     23.00      4.50      2.88      0.00      0.00      0.00      0.00
19時24分37秒 vethba68c3a0   4733.00   4966.00    561.77    561.54      0.00      0.00      0.00      0.05
19時24分37秒 veth0a72e473   6034.00   7513.00   5916.74   6597.39      0.00      0.00      0.00      0.54
19時24分37秒 veth575532b7  12026.00  11788.00   5067.41   3573.73      0.00      0.00      0.00      0.42

19時24分37秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
19時24分38秒        lo     27.00     27.00      3.78      3.78      0.00      0.00      0.00      0.00
19時24分38秒     ens33  29516.00  25423.00   9984.47  11261.78      0.00      0.00      0.00      0.92
19時24分38秒      cni0  16711.00  18178.00   9053.11   7837.24      0.00      0.00      0.00      0.00
19時24分38秒 vethbdca3de6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19時24分38秒 veth854270a4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19時24分38秒 veth0c9b2fa5      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19時24分38秒 vethba68c3a0   5324.00   5638.00    619.80    624.37      0.00      0.00      0.00      0.05
19時24分38秒 veth0a72e473   5746.00   7216.00   6067.07   6223.06      0.00      0.00      0.00      0.51
19時24分38秒 veth575532b7  12562.00  12244.00   5082.94   3477.99      0.00      0.00      0.00      0.42

19時24分38秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
19時24分39秒        lo     25.00     25.00      4.23      4.23      0.00      0.00      0.00      0.00
